id,qname,parent_qname,elr,elr_id,role_definition,elr_order,depth,order,parent_id
02cc7fd7-0a31-4c95-bac4-f798944a30d6,core:Equity,core:TotalLiabilities,http://xbrl.frc.org.uk/fr/core/roles/BalanceSheetFRS102,222,222 - Balance Sheet (FRS 102),222,3,98,0132fb5b-cc8b-48e3-ad06-ce0a384d9ecc
02cf4d1a-f8a4-413b-b4c0-627c10ce53e4,core:RevaluationInvestmentPropertyDeferredTax,core:TotalForDeferredTaxDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,2387,bc30a329-4aaf-4bbb-9ae2-92ff97d5a034
02e0945d-2270-45db-890c-59e466771a6d,core:BadDebts,core:TotalProvisionsDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,1399,bf14f450-58ca-44c4-991a-b4410890e4dc
02e1f24d-891f-4381-bf3b-b1760a242d10,core:HedgedForecastPayableCashFlowExpectedOccurrence,core:NetHedgedForecastCashInflowOutflowExpectedOccurrence,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,5,1846,f060d28f-8351-499d-904d-89c7f01b154f
02eb06a7-d337-4e09-937d-e516493a1ed3,countries:Senegal,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,3243,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
02f81746-1fbb-402b-904b-2b66164f5a74,core:AssetsSubsidiaryToWhichSignificantRestrictionsApply,core:AssetsLiabilitiesSubsidiariesToWhichSignificantRestrictionsApplyHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,6,1570,337e4c61-eb82-4d6a-9556-4aa0e11f6eb5
02f9b80c-5ab0-42a9-884c-89505f9af56b,bus:CumulativeRedeemableShares,bus:CumulativeShares,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,2455,a6d805ed-a2d7-49dd-827c-4bd77066f52e
02fd0c69-6e89-4661-b724-f21debf3d52a,core:ProvisionsPolicy,core:Non-financialAssetsLiabilitiesPoliciesHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,3,115,bf0b1800-81e2-4ce9-8329-2c13baf20ff9
0301b5f2-d2dd-4856-8def-6b6a2f10d0c2,core:RangeDimension,core:FinancialInstruments-specificDimensionsHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,2,2359,db692d11-4fcc-46a8-b8bf-369bb6b8e627
031b1a86-cc57-4cf7-80d5-2858e48d92f8,core:DescriptionNatureIntangibleAssetsIncludedInGoodwillOnBusinessCombination,core:GoodwillArisingOnBusinessCombinationHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,4,337,f2e7fcbf-cfe5-47cf-961e-8cdfd07ec193
031ee2c5-565f-4a8b-9d98-80101acf0b37,core:ProvisionsAssumed,core:LiabilitiesAssumed,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,5,293,f3adab68-e64c-43e4-9286-5a182ad2f41e
032085fd-2bc1-4f44-9db4-f150df915e61,core:CommitmentsInRelationToJointVentures,core:InvestmentsInJointVenturesHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,5,1659,4f30dcb0-5231-4f14-b087-b07b21124ded
0324d4a7-3427-4c47-b6fc-e6c0aad23b78,core:ProfitLossAttributableToNon-controllingInterests,core:Non-controllingInterestsInvestmentsInSubsidiariesHeading,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,6,1556,4f6decda-7690-4133-9d0b-80e7ac60a86c
0332ab3d-44c9-41b7-a5b7-a888363ea5f3,dpl:OtherForeignExchangeLossGain,dpl:OperationalAdministrationCostsHeading,http://xbrl.frc.org.uk/dpl/roles/FullDetailedProfitLoss,31,031 - Full Detailed Profit and Loss (UK),31,3,156,c61eb8c9-e220-49ff-b609-60fab4aeadf0
0339120b-8276-463a-bbcc-9933f9aa0d06,countries:Serbia,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,2030,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
0340ecdf-523e-496d-aa32-f1e52f0d49ab,core:FurtherSpecificTypeProvisionContingentLiability3ComponentTotalProvisionsContingentLiabilities,core:TotalProvisionsDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,1414,bf14f450-58ca-44c4-991a-b4410890e4dc
03469767-5c68-4f85-9093-03307fcc9690,direp:DescriptionMethodologiesUsedToCalculateData,direp:StreamlinedEnergyCarbonReportingHeading,http://xbrl.frc.org.uk/direp/roles/DirectorsReport,10,010 - Directors'/Strategic Report,10,2,131,050160c2-7f3f-4b41-95d6-4a17eb4fa803
034cdb7e-d2c6-4b3a-bdd8-ba88eced7d18,core:CashBalancesCentralBanksHeading,core:FinancialAssetsAdditionalBankingFinanceItemsHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,3,250,83582bb5-3efd-4296-91d4-6447b2df2705
034f5697-86b6-4082-9300-de34d291e85b,bus:MeansContactHeading,bus:EntityContactsWebsiteInformationHeading,http://xbrl.frc.org.uk/cd/roles/Entity-Information,2,002 - Entity Information,2,2,44,03983413-edd2-4521-b177-ba3580b01365
035567bf-a994-4679-ae94-5b3bee73bbd3,countries:AmericanSamoa,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,3052,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
035b2256-8d7f-4470-bf9e-f8d8f5bc174f,countries:Myanmar,countries:CountryListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,3200,e84b2441-d4b0-4666-8ca8-8db548fbc0e4
03609aff-03ba-4f04-bd2a-697a0aae144f,bus:StatementRespectsInWhichPreviouslyFiledReportDidNotComplyWithCompaniesAct2006,bus:RevisionByReplacementMethodHeading,http://xbrl.frc.org.uk/cd/roles/Report-Information,3,003 - Report Information,3,3,28,0f3d6a4f-15a8-4b09-a1bc-dbce808fd694
0372e898-3aa7-4037-831a-f0cb7718c48b,core:BaseMetalsSegment,core:MiningReportableOperatingSegmentsHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,6,722,30199054-3edd-4d30-bdbf-0f928750d6cf
03739266-7dbe-455a-84ad-a91b97e83fad,curr:MauritanianOuguiya,curr:FullCurrenciesListHeading,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,5,2190,b58f2337-5d0a-4b1a-a2e8-12c51ec0b399
03773b82-e0d8-455b-817b-a59814df259c,core:IncomeStatementFree-textComment,core:IncomeStatementHeading,http://xbrl.frc.org.uk/fr/core/roles/IncomeStatementFRS102,202,202 - Income Statement (FRS 102),202,1,52,1ac41cc4-75b0-40a3-900b-b055241c02d0
0380ed71-b173-486e-a672-4f069731c0c6,core:Subsidiary41,core:TotalSubsidiariesDefault,http://xbrl.frc.org.uk/cd/roles/Dimensions-Content,500,500 - Dimensions Content,500,4,1039,6c3cbe84-0263-4751-a965-24fd3427d0b4
03848586-c8bf-4156-b085-7a787aa17424,core:GainLossInCashFlowsFromChangeInAdministrationFeesPayable,core:CashGeneratedFromOperationsIndirectMethodAdditionalInvestmentFundItemsHeading,http://xbrl.frc.org.uk/fr/core/roles/AdditionalIndustrySectorDataFRS102,402,402 - Additional Industry Sector Data (FRS 102),402,4,526,6a795a3e-3ad3-4ea9-b9e6-4613276cdd71
039029ca-23a1-4c1c-8d67-38baae69950f,core:IncreaseDecreaseInStocksInventoriesFinishedGoodsWorkInProgress,core:IncomeStatementFormat2Heading,http://xbrl.frc.org.uk/fr/core/roles/IncomeStatementFRS102,202,202 - Income Statement (FRS 102),202,2,12,9988427f-5442-4a4e-9d5c-ee88a2af5f4c
0390444a-1ecb-4a3c-87b2-ce421f07ec00,core:AmountsOwedToSubsidiaries,core:AmountsOwedToGroupUndertakings,http://xbrl.frc.org.uk/fr/core/roles/NotesAndDetailedDisclosuresFRS102,302,302 - Notes and Detailed Disclosures (FRS 102),302,7,1364,a4fc0fcb-2397-4679-a406-01a45ff18fb1
