id,qname,namespace,local_name,xbrl_type,full_type,substitution_group,period_type,abstract,nillable,balance,preferred_label_role,is_dimension,is_typed_dimension,typed_domain_type,is_analysis_dimension,is_grouping_dimension
007f7592-d28c-42e0-ab17-981985fa0204,core:PropertyPlantEquipmentWithRestrictedTitleHeading,http://xbrl.frc.org.uk/fr/2023-01-01/core,PropertyPlantEquipmentWithRestrictedTitleHeading,stringItemType,types:headingItemType,xbrli:item,duration,true,true,,,false,false,,false,false
008b1320-92dc-4e83-9b75-c4c3e95b5abd,core:CarryingAmountFinancialAssetsWhichDoNotQualifyForRecognition,http://xbrl.frc.org.uk/fr/2023-01-01/core,CarryingAmountFinancialAssetsWhichDoNotQualifyForRecognition,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
008b28b6-c5af-42e2-982b-55b6a6845914,core:Investments,http://xbrl.frc.org.uk/fr/2023-01-01/core,Investments,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
0092e7bb-d0ff-473c-89ab-48cb6dc91972,core:IncreaseDecreaseInNumberNon-treasurySharesHeld,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncreaseDecreaseInNumberNon-treasurySharesHeld,sharesItemType,xbrli:sharesItemType,xbrli:item,duration,false,true,,,false,false,,false,false
0094934d-f844-4e5c-8891-d7d260fd1451,core:IncomeFromAssociatesJointVenturesParticipatingInterests,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncomeFromAssociatesJointVenturesParticipatingInterests,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
00960d3b-b751-41ca-82b8-41065adb1688,core:RevenueFromConstructionContracts,http://xbrl.frc.org.uk/fr/2023-01-01/core,RevenueFromConstructionContracts,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
009e2467-7427-4cce-9de4-d4ebd102cdd3,bus:CumulativeShares,http://xbrl.frc.org.uk/cd/2023-01-01/business,CumulativeShares,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00a24312-db75-4a67-8506-c8dd0df7993e,core:EquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDateFairValueAcquisitionDate,http://xbrl.frc.org.uk/fr/2023-01-01/core,EquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDateFairValueAcquisitionDate,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,credit,,false,false,,false,false
00a6d877-5f86-47a2-8e67-fc12e8cef72a,core:CreditRiskInternalGrade6,http://xbrl.frc.org.uk/fr/2023-01-01/core,CreditRiskInternalGrade6,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00aaebc5-d0a1-457d-8b91-c8b654f7b175,core:DescriptionOtherSalesChannelType,http://xbrl.frc.org.uk/fr/2023-01-01/core,DescriptionOtherSalesChannelType,stringItemType,xbrli:stringItemType,xbrli:item,duration,false,true,,,false,false,,false,false
00b0081d-ea33-4bee-bd50-654ae6211a7c,countries:NorthernIreland,http://xbrl.frc.org.uk/cd/2023-01-01/countries,NorthernIreland,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00b10b3e-cca8-4b9e-a53f-fe2963c45a84,curr:GibraltarPound,http://xbrl.frc.org.uk/cd/2023-01-01/currencies,GibraltarPound,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00b77c0c-37f3-4dc3-ad28-5927642fec1f,core:TaxExpenseCreditOnFinanceIncomeExpenseFromInsuranceContractsIssuedInOtherComprehensiveIncome,http://xbrl.frc.org.uk/fr/2023-01-01/core,TaxExpenseCreditOnFinanceIncomeExpenseFromInsuranceContractsIssuedInOtherComprehensiveIncome,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
00cf163d-0cfe-4e05-8596-2b4be33cbce4,core:OilSegment,http://xbrl.frc.org.uk/fr/2023-01-01/core,OilSegment,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00dd1a38-705b-4163-afb7-313b7bf66125,core:ExplorationEvaluationExpenditurePolicyExtractiveIndustries,http://xbrl.frc.org.uk/fr/2023-01-01/core,ExplorationEvaluationExpenditurePolicyExtractiveIndustries,stringItemType,xbrli:stringItemType,xbrli:item,duration,false,true,,,false,false,,false,false
00ddf73d-9186-4377-9cfd-34d0c2f45a81,core:TransferToStage1,http://xbrl.frc.org.uk/fr/2023-01-01/core,TransferToStage1,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00deee70-9a3f-4ff9-a315-6b2e03536a0b,core:IncreaseDecreaseInExistingProvisionsRecognisedInEquity,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncreaseDecreaseInExistingProvisionsRecognisedInEquity,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
00e8d24f-da4a-4c98-962f-cc9a166f79c0,core:InterestExpenseHeading,http://xbrl.frc.org.uk/fr/2023-01-01/core,InterestExpenseHeading,stringItemType,types:headingItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00ec18cb-d788-4c2f-af90-73cc0689c7bf,bus:OriginalRevisedDataDimension,http://xbrl.frc.org.uk/cd/2023-01-01/business,OriginalRevisedDataDimension,stringItemType,xbrli:stringItemType,xbrldt:dimensionItem,duration,true,true,,,true,false,,false,false
