id,concept_qname,lang,type,role,text
58ce1d52-9f49-4768-9342-1742a8586cca,aurep:AuditReportHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Adroddiad archwilio [pennawd]
9e62c646-bd9d-4973-a673-b8611d7af0ee,aurep:AuditReportHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Audit report [heading]
3b3d2554-d19d-41e7-a7ba-348524677bed,aurep:BasisForOpinionAuditorsOnEntity,cy,Standard Label,http://www.xbrl.org/2003/role/label,Sail barn archwilwyr ar yr endid
d5eb8051-3734-4900-8581-9bf02bdfd92e,aurep:BasisForOpinionAuditorsOnEntity,en,Standard Label,http://www.xbrl.org/2003/role/label,Basis for opinion of auditors on entity
5eabb87c-d0ff-475e-af81-dd1b64303d20,aurep:CompanyEntitledToDeliverAbbreviatedAccountsAccountsProperlyPreparedTruefalse,cy,Standard Label,http://www.xbrl.org/2003/role/label,Mae gan gwmni hawl cyflwyno cyfrifon cryno a chyfrifon a baratowyd yn briodol [gwir/anwir] (Anghymeradwywyd 2022-01-01)
8c4b0b8a-25d8-4e80-9a59-5cdf596ee644,aurep:CompanyEntitledToDeliverAbbreviatedAccountsAccountsProperlyPreparedTruefalse,en,Standard Label,http://www.xbrl.org/2003/role/label,Company is entitled to deliver abbreviated accounts and accounts properly prepared [true/false] (Deprecated 2022-01-01)
d44cc6b3-3a64-4931-9170-cf18e6e7298f,aurep:CompanyEntitledToDeliverAbbreviatedAccountsAccountsProperlyPreparedTruefalse,en,http://www.xbrl.org/2009/role/deprecatedDateLabel,http://www.xbrl.org/2009/role/deprecatedDateLabel,2022-01-01
20abcd53-5bc8-4f73-9e59-af864adcb137,aurep:CorporateFinanceTransactionsEntitySubsidiariesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Trafodion cyllid corfforaethol, endid ac is-gwmnïau, ffioedd"
c9af9ef0-0455-4c48-b810-d7c0717b79be,aurep:CorporateFinanceTransactionsEntitySubsidiariesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Corporate finance transactions, entity and subsidiaries, fees"
45144017-9d70-4a09-b6a7-0770d8018951,aurep:CorporateFinanceTransactionsFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Trafodion cyllid corfforaethol, ffioedd"
7bc69bf6-a9f1-4692-8a17-72b7e2f05f8a,aurep:CorporateFinanceTransactionsFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Corporate finance transactions, fees"
6ce9e414-4a9c-459e-9174-0fba6757e5bb,aurep:CorporateFinanceTransactionsPensionSchemesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Trafodion cyllid corfforaethol, cynlluniau pensiwn, ffioedd"
a3117ba4-4898-48a4-870f-091c8672ad7f,aurep:CorporateFinanceTransactionsPensionSchemesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Corporate finance transactions, pension schemes, fees"
f057223b-daf7-4759-880e-3d9b6011c377,aurep:DateAuditorsReport,cy,Standard Label,http://www.xbrl.org/2003/role/label,Dyddiad adroddiad yr archwiliwr
776abe99-1260-4f40-9950-0746978f986a,aurep:DateAuditorsReport,en,Standard Label,http://www.xbrl.org/2003/role/label,Date of auditor's report
03c72d63-f239-4ae6-9aee-8f0d2cd50313,aurep:DateAuditorsReportOnRevisedAccounts,cy,Standard Label,http://www.xbrl.org/2003/role/label,Dyddiad adroddiad archwilwyr ar y cyfrifon diwygiedig
a8d09b46-bc0a-4d41-ac93-acaafc1c943a,aurep:DateAuditorsReportOnRevisedAccounts,en,Standard Label,http://www.xbrl.org/2003/role/label,Date of auditor's report on revised accounts
e70435ac-a752-4dc0-a1d3-f201e406d850,aurep:DescriptionBenefitsInKindForAuditServices,cy,Documentation,http://www.xbrl.org/2003/role/documentation,Disgrifiad o natur buddiannau nad ydynt yn arian parod
fd9d0e44-5ea6-4a41-a6c8-ede99ddd0d72,aurep:DescriptionBenefitsInKindForAuditServices,cy,Standard Label,http://www.xbrl.org/2003/role/label,Disgrifiad o fuddiannau mewn nwyddau ar gyfer gwasanaethau archwilio
d756a809-0835-48c0-b233-b335f0d0abc4,aurep:DescriptionBenefitsInKindForAuditServices,en,Documentation,http://www.xbrl.org/2003/role/documentation,Description of nature of non-cash benefits.
a5018ba4-f215-40b5-9a94-da49766f89a3,aurep:DescriptionBenefitsInKindForAuditServices,en,Standard Label,http://www.xbrl.org/2003/role/label,Description of benefits in kind for audit services
399ab525-615e-4e55-86f2-3eb83bd75dbc,aurep:DescriptionBenefitsInKindForNon-auditServices,cy,Standard Label,http://www.xbrl.org/2003/role/label,Disgrifiad o fuddiannau mewn nwyddau ar gyfer gwasanaethau nad ydynt yn rhai archwilio
4f24bbdc-c955-440f-9593-ecc20e789e10,aurep:DescriptionBenefitsInKindForNon-auditServices,en,Standard Label,http://www.xbrl.org/2003/role/label,Description of benefits in kind for non-audit services
2edc5eff-cb8f-4c96-9e2c-ac83662d455c,aurep:DescriptionMattersGivingRiseToAnyModifiedAuditOpinion,cy,Standard Label,http://www.xbrl.org/2003/role/label,Disgrifiad o'r materion sydd wedi arwain at unrhyw opsiwn archwiliad addasedig
87b14269-288c-4a05-8abd-9eb271a27457,aurep:DescriptionMattersGivingRiseToAnyModifiedAuditOpinion,en,Standard Label,http://www.xbrl.org/2003/role/label,Description of matters giving rise to any modified audit opinion
2b90f7cf-a0a9-4e4e-ba0b-a7ae4d96e8ec,aurep:DescriptionReasonsIfSeniorStatutoryAuditorsNameNotDisclosed,cy,Standard Label,http://www.xbrl.org/2003/role/label,Disgrifiad o'r rhesymau dros beidio â datgelu enw uwch archwilydd Statudol
59d60d35-fd28-4d63-8c73-19fdada40aa1,aurep:DescriptionReasonsIfSeniorStatutoryAuditorsNameNotDisclosed,en,Standard Label,http://www.xbrl.org/2003/role/label,Description of reasons if senior statutory auditor's name is not disclosed
b6c01bf2-bbca-4d09-ad5f-b9eeca66db28,aurep:DirectorsReportConsistentWithAccountsTruefalse,cy,Standard Label,http://www.xbrl.org/2003/role/label,Mae adroddiad y cyfarwyddwyr yn gyson â'r cyfrifon [gwir/anwir]
00a63396-8244-4781-bdcf-66bf6b90bc5f,aurep:DirectorsReportConsistentWithAccountsTruefalse,en,Standard Label,http://www.xbrl.org/2003/role/label,Directors' report is consistent with the accounts [true/false]
cfe705eb-1f03-49b0-9c07-b894b5097100,aurep:DirectorsReportConsistentWithRevisedAccountsTruefalse,cy,Standard Label,http://www.xbrl.org/2003/role/label,Mae adroddiad y cyfarwyddwyr yn gyson â'r cyfrifon diwygiedig [gwir/anwir]
3a987a3e-0b8b-48f3-a931-592eedb0cf57,aurep:DirectorsReportConsistentWithRevisedAccountsTruefalse,en,Standard Label,http://www.xbrl.org/2003/role/label,Directors' report is consistent with the revised accounts [true/false]
75164fdb-de01-4e97-bf25-70987c4faccf,aurep:EmphasisMatterStatement,cy,Documentation,http://www.xbrl.org/2003/role/documentation,Tag ond yn ofynnol pan ddarperir datganiad 'pwyslais y mater' yn yr adroddiad.
14fe95d0-4964-4ba7-af64-936d7440a383,aurep:EmphasisMatterStatement,cy,Standard Label,http://www.xbrl.org/2003/role/label,Datganiad pwyslais y mater
79a23572-93f5-4b96-9ad8-fb3188993099,aurep:EmphasisMatterStatement,en,Documentation,http://www.xbrl.org/2003/role/documentation,Tag only required when 'emphasis of matter' statement is provided in the report.
910c685f-6255-457b-ba2e-8160b97eae88,aurep:EmphasisMatterStatement,en,Standard Label,http://www.xbrl.org/2003/role/label,Emphasis of matter statement
aed3c9e5-38cf-4b0f-97ae-e69b11540a75,aurep:EstimatedMoneyValueBenefitsInKindForAuditServices,cy,Standard Label,http://www.xbrl.org/2003/role/label,Amcan o werth arian y buddiannau mewn nwyddau ar gyfer gwasanaethau archwilio
5de3974f-7e5d-4d26-b232-c48ae6123f0b,aurep:EstimatedMoneyValueBenefitsInKindForAuditServices,en,Standard Label,http://www.xbrl.org/2003/role/label,Estimated money value of benefits in kind for audit services
cfb7c6af-6399-4738-8b3e-f3f5a5acd478,aurep:EstimatedMoneyValueBenefitsInKindForNon-auditServices,cy,Standard Label,http://www.xbrl.org/2003/role/label,Amcan o werth arian y buddiannau mewn nwyddau ar gyfer gwasanaethau nad ydynt yn rhai archwilio
709803e9-30c1-4dca-a2b4-df288eeea6d8,aurep:EstimatedMoneyValueBenefitsInKindForNon-auditServices,en,Standard Label,http://www.xbrl.org/2003/role/label,Estimated money value of benefits in kind for non-audit services
b3ee8cd4-cdce-4083-866a-b8a6931f3f7a,aurep:FeesForNon-auditServices,cy,Standard Label,http://www.xbrl.org/2003/role/label,Ffioedd ar gyfer gwasanaethau nad ydynt yn rhai archwilio
de49bbf3-a7e9-4b19-8ed9-38f4d1349faa,aurep:FeesForNon-auditServices,en,Standard Label,http://www.xbrl.org/2003/role/label,Fees for non-audit services
40d9b14d-b19b-43e4-96a6-34acee119ded,aurep:FeesToAuditorsFree-textComment,cy,Documentation,http://www.xbrl.org/2003/role/documentation,Sylwad cyd-destunol cyffredinol ar ffioedd i archwilwyr.
53240362-5de8-48c3-a7b7-59e91608c279,aurep:FeesToAuditorsFree-textComment,cy,Standard Label,http://www.xbrl.org/2003/role/label,Sylwad testun rhydd ar ffioedd i archwilwyr
de0da643-ec11-400b-b76d-a01b8b95eff0,aurep:FeesToAuditorsFree-textComment,en,Documentation,http://www.xbrl.org/2003/role/documentation,General textual comment on fees to auditors.
9a80a16c-b9b5-4f1b-9713-d9c422013dce,aurep:FeesToAuditorsFree-textComment,en,Standard Label,http://www.xbrl.org/2003/role/label,Fees to auditors free-text comment
debe1d9c-cf69-417e-ae83-f81c042d650b,aurep:FeesToAuditorsHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Ffioedd i archwilwyr [pennawd]
0c9c9263-e967-4dd9-8b6e-724d6b0cbfb0,aurep:FeesToAuditorsHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Fees to auditors [heading]
c247ff99-b6fa-4626-b225-ad16183e807c,aurep:InternalAuditServicesEntitySubsidiariesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau Archwilio Mewnol, endid ac is-gwmnïau, ffioedd"
89e5e007-f487-46b3-b318-37562ad1d203,aurep:InternalAuditServicesEntitySubsidiariesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Internal audit services, entity and subsidiaries, fees"
3debb31f-4299-48be-9865-c5b0765dae2f,aurep:InternalAuditServicesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau archwilio mewnol, ffioedd"
f00430fc-1c5c-4654-962c-d3dd8b019bf4,aurep:InternalAuditServicesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Internal audit services, fees"
60574196-a0d2-4314-83fc-29aaa16d5afe,aurep:InternalAuditServicesPensionSchemesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Gwasanaethau Archwilio Mewnol, cynlluniau pensiwn, ffioedd"
38e87bdb-da40-47e8-a831-867ab308d9ff,aurep:InternalAuditServicesPensionSchemesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Internal audit services, pension schemes, fees"
02e3b703-06c7-4da0-888b-4b5c58ed98d7,aurep:NameIndividualAuditor,cy,Documentation,http://www.xbrl.org/2003/role/documentation,Enw'r archwilydd cyfrifol os yn unigolyn
d18c66a0-873c-45f5-81fe-bf2822d4c018,aurep:NameIndividualAuditor,cy,Standard Label,http://www.xbrl.org/2003/role/label,Enw'r archwilwyr unigol
75f10e60-6cb3-414b-8c96-c045a92454e8,aurep:NameIndividualAuditor,en,Documentation,http://www.xbrl.org/2003/role/documentation,Name of responsible auditor if an individual
73de13d4-8435-4979-adc6-77e5d5fbfdab,aurep:NameIndividualAuditor,en,Standard Label,http://www.xbrl.org/2003/role/label,Name of individual auditor
d10b6b6e-7368-4bbf-ad38-09109de49cc9,aurep:NameOrLocationOfficePerformingAudit,cy,Documentation,http://www.xbrl.org/2003/role/documentation,"Enw, lleoliad neu ddisgrifiad sydd yn enwi'n glir y swyddog sydd yn cynnal yr archwiliad."
d0ec5f79-319f-4fbd-b9f4-a55ce2144325,aurep:NameOrLocationOfficePerformingAudit,cy,Standard Label,http://www.xbrl.org/2003/role/label,Enw neu leoliad y swyddfa sydd yn perfformio'r archwiliad
4c3c699a-92ab-48e7-8bcf-5c3985b9a07e,aurep:NameOrLocationOfficePerformingAudit,en,Documentation,http://www.xbrl.org/2003/role/documentation,"Name, location or description which clearly identifies the office carrying out the audit."
5a3d530c-c8fc-4d57-994f-612f66955bfd,aurep:NameOrLocationOfficePerformingAudit,en,Standard Label,http://www.xbrl.org/2003/role/label,Name or location of office performing audit
26ada983-1048-4b17-8017-9b516bf30c75,aurep:NameSeniorStatutoryAuditor,cy,Standard Label,http://www.xbrl.org/2003/role/label,Enw'r Uwch archwilydd Statudol
