qname,path_count,parent_count,total_occurrences
countries:Pakistan,9,3,9
countries:Palau,9,3,9
countries:PalestinianState,9,3,9
countries:Panama,9,3,9
countries:PapuaNewGuinea,9,3,9
countries:Paraguay,9,3,9
countries:Peru,9,3,9
countries:Philippines,9,3,9
countries:Pitcairn,9,3,9
countries:Poland,9,3,9
countries:Portugal,9,3,9
countries:PuertoRico,9,3,9
countries:Qatar,9,3,9
countries:RestEuropeOutsideUK,9,3,9
countries:RestWorldOutsideEurope,9,3,9
countries:RestWorldOutsideUK,9,3,9
countries:Réunion,9,3,9
countries:Romania,9,3,9
countries:RussianFederation,9,3,9
countries:Rwanda,9,3,9
core:OtherPost-employmentBenefitCosts,8,2,8
core:DatedLoanCapital,8,2,8
core:FurtherSubordinatedLiabilitiesItemComponentTotalSubordinatedLiabilities,8,2,8
core:DebenturesHeld,8,2,8
core:DebenturesInIssue,8,4,8
core:OtherDebtorsBalanceSheetSubtotal,8,2,8
core:OtherDebtSecuritiesHeld,8,2,8
core:OtherDebtSecuritiesInIssue,8,2,8
core:UKTax,8,2,8
core:ForeignTax,8,2,8
core:AddressControllingParty,8,2,8
core:ControllingPartyUltimateControllingPartyTruefalse,8,2,8
curr:CanadianDollar,8,4,8
core:WagesSalariesExcludingRedundancyCosts,8,2,8
core:SeniorNotesInIssue,8,2,8
core:CoveredBondsInIssue,8,2,8
core:OtherPublicSectorDebtSecuritiesHeld,8,2,8
core:WagesSalariesIncludingRedundancyCosts,8,2,8
core:SubordinatedLiabilitiesOwedToThirdParties,8,2,8
core:WarrantsHeld,8,2,8
curr:JapaneseYen,8,4,8
core:Asset-backedSecuritiesABSHeld,8,2,8
core:CalledUpShareCapitalNotPaidCurrentAsset,8,2,8
core:CountryInWhichParentSmallestGroupIncorporated,8,2,8
core:DescriptionNon-interestBearingBorrowings,8,2,8
core:FloatingRateNotesHeld,8,2,8
core:CommercialPaperHeld,8,2,8
core:FurtherItemDebtSecuritiesInIssueComponentTotalDebtSecuritiesInIssue,8,2,8
core:UndatedLoanCapital,8,2,8
core:ConvertibleDebtSecuritiesHeld,8,2,8
core:UndrawnBorrowingFacilities,8,2,8
core:PerpetualNotesInIssue,8,2,8
core:PlantEquipmentOtherAssetsUnderOperatingLeases,8,2,8
core:FurtherItemBankBorrowingsOverdraftsComponentTotalBankBorrowingsOverdrafts,8,2,8
core:StructuredNotesInIssue,8,2,8
core:Step-upPerpetualPreferredSecurities,8,2,8
core:SeedInvestmentsHeld,8,2,8
core:DebtSecuritiesIssuedByBanksHeld,8,2,8
core:CommercialPaperInIssue,8,2,8
core:InformationOnControllingPartyIncludingDescriptionRelationship,8,2,8
core:AmountBorrowingExposedToInterestRateChanges,8,2,8
core:SecuritisationNotesInIssue,8,2,8
core:LandBuildingsUnderOperatingLeases,8,2,8
core:CertificatesDepositInIssue,8,2,8
core:LoanCommitmentsAsset,8,2,8
core:FurtherInformationOnParentSmallestGroup,8,2,8
core:PromissoryNotesHeld,8,2,8
core:RedeemableNotesHeld,8,2,8
