qname,path_count,parent_count,total_occurrences
core:GainLossFromReclassificationCashFlowHedgesToProfitOrLossFromEquityNetTax,2,2,2
core:GainLossOnDisposalsIntangibleAssets,2,2,2
core:GainLossOnDisposalsPropertyPlantEquipment,2,2,2
core:GainLossOnFairValueHedgedItemsAttributableToHedgedRisk,2,2,2
core:GainLossOnHedgeInvestmentsInForeignOperationsNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnIneffectivenessCashFlowHedgesRecognisedInProfitOrLoss,2,2,2
core:GainLossOnIneffectivenessNetInvestmentHedgeRecognisedInProfitLoss,2,2,2
core:GainLossOnRemeasurementDefinedBenefitPlansBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRemeasurementDefinedBenefitPlansNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationBiologicalAssetsBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationBiologicalAssetsNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationInvestmentPropertiesBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationInvestmentPropertiesNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationOtherAssetsBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationOtherAssetsNetTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationPropertyPlantEquipmentBeforeTaxInOtherComprehensiveIncome,2,2,2
core:GainLossOnRevaluationPropertyPlantEquipmentNetTaxInOtherComprehensiveIncome,2,2,2
core:GovernmentGrantIncome,2,2,2
core:GrossProfitLoss,2,2,2
core:ImmediateParent,2,2,2
core:ImpairmentLossReversalIntangibleAssets,2,2,2
core:ImpairmentLossReversalInvestmentInSubsidiariesAssociatesJointVentures,2,2,2
core:ImpairmentLossReversalPropertyPlantEquipment,2,2,2
core:IncreaseDecreaseInCashCashEquivalentsBeforeForeignExchangeDifferencesChangesInConsolidation,2,2,2
core:IncreaseDecreaseInCashCashEquivalentsFromChangesInConsolidation,2,2,2
core:IncreaseDecreaseInCurrentTaxFromAdjustmentForPriorPeriods,2,2,2
core:IncreaseInAssetsDefinedBenefitPlanFromInterestIncome,2,2,2
core:IncreaseInAssetsDefinedBenefitPlanFromReturnOnAssetsNetInterestIncome,2,2,2
core:IncreaseInContingentRentsOnFinanceLeasesRecognisedAsExpense,2,2,2
core:InsuranceCosts,2,2,2
core:InterestExpense,2,2,2
core:InterestExpenseOnBankOverdraftsBankLoansSimilarBorrowings,2,2,2
core:InterestExpenseOnLiabilitiesDefinedBenefitPlan,2,2,2
core:InterestExpenseOnObligationsUnderFinanceLeasesHirePurchaseContracts,2,2,2
core:InterestExpenseOnPreferenceSharesClassifiedAsDebt,2,2,2
core:InterestIncome,2,2,2
core:InterestIncomeFromReimbursementRightsDefinedBenefitPlan,2,2,2
core:InterestIncomeOnAssetsDefinedBenefitPlan,2,2,2
core:InterestIncomeOnFinancialAssetsHeldForTradingFairValueThroughProfitOrLoss,2,2,2
core:InterestPayableSimilarChargesFinanceCosts,2,2,2
core:IntermediateParents,2,2,2
core:InventoryObsolescence,2,2,2
core:InvestmentsInAssociates,2,2,2
core:InvestmentsInJointVentures,2,2,2
core:InvestmentsInOtherEntitiesMeasuredFairValueHeading,2,2,2
core:InvestmentsInSubsidiaries,2,2,2
core:JointVenture1,2,2,2
core:JointVenture10,2,2,2
core:JointVenture11,2,2,2
core:JointVenture12,2,2,2
core:JointVenture13,2,2,2
core:JointVenture14,2,2,2
core:JointVenture15,2,2,2
core:JointVenture16,2,2,2
core:JointVenture17,2,2,2
